enhancer	S1_r1	S1_r2	S2_r1	S2_r2
chr21_36329734_36330462	9	3	56	9
chr21_36330616_36331095	3	4	52	21
chr21_36332895_36333940	7	5	158	42
chr21_36385372_36386202	26	27	129	15
chr21_36396978_36397221	13	1	4	1
chr21_36401701_36403354	5	1	615	252
chr21_36429208_36431189	116	10	390	107
chr21_36470305_36472501	11	3	404	190
chr21_36478332_36479319	10	1	155	40
chr21_36499198_36501311	4	1	432	70
chr21_36508579_36512342	15	6	1540	510
chr21_36586513_36588430	3	0	565	184
chr21_36588578_36589118	3	1	50	4
chr21_36612649_36613843	7	1	171	31
chr21_36647364_36648477	7	2	137	92
chr21_36699198_36699843	1	0	73	20
chr21_36747160_36747757	0	1	50	12
chr21_36748034_36748687	2	0	68	3
chr21_36755595_36757828	5	2	357	41
chr21_36783751_36784790	7	1	84	11
chr21_36787827_36788887	6	2	116	29
chr21_36846317_36847378	3	1	234	35
chr21_36859594_36860300	33	30	43	4
chr21_36860450_36861338	35	39	58	16
chr21_36888680_36888866	7	2	1	0
chr21_36907851_36909992	14	4	590	43
chr21_36910099_36911571	8	1	325	19
chr21_36912828_36913150	2	3	26	2
chr21_36916800_36918391	3	6	336	27
chr21_36959652_36960006	11	2	7	1
chr21_36964489_36966714	372	158	546	76
chr21_36966775_36967728	51	28	323	49
chr21_36974122_36974612	29	8	25	7
chr21_36974670_36975137	25	4	13	0
chr21_36989225_36991020	230	89	432	100
chr21_37006936_37007384	3	0	36	12
chr21_37009765_37010017	11	0	13	7
chr21_37010114_37010494	7	1	29	4
chr21_37018253_37018431	10	2	7	0
chr21_37046436_37047789	8	0	212	77
chr21_37059922_37061380	6	0	300	85
chr21_37070795_37075103	571	244	3052	1021
chr21_37086957_37087764	25	16	74	9
chr21_37127736_37128494	4	1	57	16
chr21_37157405_37157720	18	7	7	4
chr21_37175946_37177852	32	4	441	103
chr21_37207870_37208768	39	7	18	4
chr21_37220059_37221857	74	44	536	137
chr21_37230490_37231539	6	2	93	12
chr21_37256034_37256346	3	1	24	3
chr21_37256446_37260728	34	3	2397	620
chr21_37263458_37271831	520	291	4245	786
chr21_37337783_37338195	3	3	34	9
chr21_37338253_37339965	250	67	470	63
chr21_37341309_37341703	1	1	27	1
chr21_37356716_37357118	26	11	15	3
chr21_37364464_37366309	278	232	1392	312
chr21_37366366_37372845	761	724	2857	680
chr21_37373323_37373875	30	16	38	7
chr21_37374136_37374414	9	10	21	7
chr21_37374841_37375171	14	9	25	5
chr21_37378253_37379491	61	66	44	4
chr21_37379816_37381526	34	27	311	76
chr21_37408858_37409043	8	1	3	1
chr21_37414439_37414697	5	7	7	3
chr21_37414881_37415169	10	5	8	1
chr21_37419606_37420047	3	12	7	2
chr21_37425706_37426473	24	18	21	4
chr21_37434771_37435158	2	2	67	10
chr21_37435396_37435957	6	5	78	20
chr21_37446619_37447240	33	3	44	14
chr21_37447455_37447748	8	7	10	3
chr21_37449595_37451185	201	74	236	77
chr21_37451509_37451709	11	2	5	1
chr21_37451897_37452111	13	3	11	3
chr21_37454924_37456362	113	31	167	49
chr21_37457658_37459522	42	10	325	62
chr21_37460241_37460642	1	4	30	10
chr21_37463362_37463903	9	7	91	24
chr21_37466769_37467219	1	0	62	19
chr21_37467324_37467587	2	1	39	3
chr21_37477416_37477750	11	4	6	1
chr21_37503083_37503642	2	1	46	30
chr21_37509463_37509803	14	4	11	5
chr21_37513767_37514465	17	7	64	20
chr21_37532744_37534029	13	1	99	75
chr21_37536816_37537715	39	19	9	3
chr21_37550693_37550996	8	7	7	1
chr21_37562142_37562577	19	13	11	5
chr21_37562761_37566510	677	141	2905	1174
chr21_37566576_37567420	29	15	32	6
chr21_37635999_37636644	4	1	96	16
chr21_37636819_37637226	0	1	45	11
chr21_37658801_37659698	17	1	73	15
chr21_37765162_37765695	2	1	40	10
chr21_38079860_38080251	5	8	13	10
chr21_38087762_38091009	319	312	54	38
chr21_38091785_38091997	10	4	3	2
chr21_38111785_38115330	260	202	98	30
chr21_38119358_38119782	9	16	26	6
chr21_38119835_38122613	613	280	85	30
chr21_38129413_38130520	9	3	221	74
chr21_38136028_38136698	0	3	133	28
chr21_38137493_38138056	1	1	117	24
chr21_38138266_38142741	14	13	4561	1527
chr21_38147353_38148910	6	3	359	46
chr21_38170463_38171156	2	0	115	31
chr21_38171896_38172449	3	0	96	9
chr21_38219362_38221198	205	78	61	21
chr21_38227889_38228861	1	0	138	26
chr21_38234002_38234925	2	2	319	47
chr21_38234968_38235817	4	1	266	31
chr21_38343217_38343859	2	2	178	43
chr21_38343920_38344382	5	0	109	30
chr21_38374628_38375348	2	0	187	25
chr21_38375510_38376436	2	1	225	41
chr21_38414493_38414946	3	1	70	14
chr21_38457633_38461155	11	2	1425	455
chr21_38596104_38596904	7	0	109	38
chr21_38636094_38637330	2	1	253	20
chr21_38755202_38756539	7	2	316	38
chr21_38784287_38785239	4	2	154	46
chr21_38786997_38787533	4	2	193	25
chr21_38787625_38788811	14	12	861	260
chr21_38793654_38794237	2	0	120	12
chr21_38794406_38794892	2	0	62	12
chr21_38796784_38799309	114	39	901	137
chr21_38801805_38802894	15	3	331	54
chr21_38802943_38808164	158	113	2724	451
chr21_38809295_38809840	8	3	64	7
chr21_38814217_38815112	6	2	268	39
chr21_38815153_38815844	1	2	223	57
chr21_38817489_38821818	20	4	2494	716
chr21_38830960_38831681	37	6	197	53
chr21_38831739_38832484	41	3	158	35
chr21_38838725_38840991	57	3	691	136
chr21_38849776_38850069	13	5	12	1
chr21_38850341_38850824	30	14	12	7
chr21_38851140_38851421	16	9	17	6
chr21_38852450_38852662	12	4	16	3
chr21_38852799_38853447	13	1	134	20
chr21_38853588_38854382	5	1	259	26
chr21_38857050_38857340	13	4	13	2
chr21_38903295_38904004	3	0	88	23
chr21_38904217_38904511	0	0	40	9
chr21_38905798_38906466	3	0	117	16
chr21_38906512_38915354	88	8	5053	890
chr21_38915501_38915997	1	0	79	10
chr21_38916650_38917215	0	0	84	20
chr21_38917307_38917652	2	0	70	17
chr21_38920867_38921596	3	0	93	22
chr21_38933759_38933954	7	0	5	1
chr21_38958777_38959668	19	6	108	23
chr21_38965195_38967105	29	8	795	132
chr21_38993736_38994138	0	0	49	7
chr21_39030657_39031130	2	0	82	5
chr21_39047700_39048147	1	1	79	6
chr21_39071184_39072922	7	3	553	107
chr21_39082017_39082714	4	1	141	16
chr21_39082914_39083804	8	2	135	28
chr21_39083962_39084497	5	0	67	19
chr21_39089481_39089858	5	0	37	9
chr21_39094240_39095315	15	1	380	31
chr21_39095356_39096917	7	2	546	75
chr21_39175672_39176017	13	2	13	2
chr21_39182010_39184949	456	247	1144	350
chr21_39208507_39209658	105	61	60	11
chr21_39311788_39315180	493	244	2588	899
chr21_39315654_39323633	383	134	4363	596
chr21_39346454_39349148	209	103	1420	423
chr21_39349305_39351599	398	253	1705	917
chr21_39363575_39364043	20	20	15	4
chr21_39370378_39371207	45	15	31	6
chr21_39377454_39377813	30	4	15	5
chr21_39379543_39381669	94	64	868	253
chr21_39386128_39386474	4	0	44	13
chr21_39387142_39387689	27	24	123	46
chr21_39387751_39389180	125	63	394	155
chr21_39419932_39420461	19	16	9	3
chr21_39420643_39420979	5	15	13	5
chr21_39421666_39423218	109	94	155	51
chr21_39423290_39423468	9	3	14	3
chr21_39428276_39428484	1	4	6	5
chr21_39429452_39429881	21	7	14	5
chr21_39429920_39431454	159	81	57	18
chr21_39444641_39446657	256	119	1421	556
chr21_39450624_39453341	237	68	332	363
chr21_39527195_39528837	10	2	363	61
chr21_39562877_39563643	2	0	97	18
chr21_39579313_39580620	5	1	359	130
chr21_39633264_39633950	1	2	66	44
chr21_39634120_39634521	4	0	40	24
chr21_39638925_39639331	3	2	51	27
chr21_39666096_39667906	4	0	477	112
chr21_39675421_39677102	9	2	455	82
chr21_39682126_39682537	1	0	81	12
chr21_39735934_39739354	9	1	1674	91
chr21_39741646_39744052	5	0	877	119
chr21_39762936_39763803	3	1	147	16
chr21_39763850_39764476	2	0	97	14
chr21_39788572_39788989	1	0	92	35
chr21_39805526_39806140	0	1	156	18
chr21_39806906_39808696	4	2	470	95
chr21_39851224_39853610	9	4	852	424
chr21_39862855_39863393	0	2	61	61
chr21_39986023_39986342	7	0	3	0
chr21_40045565_40045949	1	0	46	6
chr21_40046806_40047288	0	0	65	13
chr21_40047522_40048244	0	0	109	33
chr21_40053501_40055812	8	3	757	211
chr21_40069241_40072454	1	1	1695	343
chr21_40072529_40076381	6	6	1450	174
chr21_40117875_40119480	3	1	379	47
chr21_40120767_40121015	0	1	40	2
chr21_40143674_40145511	3	1	336	108
chr21_40146079_40147067	1	0	175	54
chr21_40147105_40147503	1	1	64	13
chr21_40165446_40166600	2	0	234	38
chr21_40166656_40167644	0	0	214	38
chr21_40182095_40182568	2	1	53	5
chr21_40216378_40217040	2	1	95	21
chr21_40245574_40246138	1	0	83	8
chr21_40258462_40259228	0	1	84	9
chr21_40278335_40278827	0	0	80	16
chr21_40284043_40284629	1	1	84	14
chr21_40301259_40301848	2	0	64	3
chr21_40308327_40308776	1	0	69	9
chr21_40308847_40309955	0	0	163	27
chr21_40310231_40310840	2	0	83	23
chr21_40310895_40311572	1	0	108	19
chr21_40312123_40329494	17	7	18486	7266
chr21_40329673_40330081	2	0	116	25
chr21_40330502_40343892	21	9	16197	7124
chr21_40344345_40345432	0	2	188	44
chr21_40350531_40350790	0	0	40	8
chr21_40351331_40351803	2	1	87	17
chr21_40366721_40368871	3	1	599	308
chr21_40372076_40376172	6	2	1503	456
chr21_40377204_40378288	1	1	200	41
chr21_40378794_40389721	12	7	14493	7672
chr21_40389825_40390218	0	0	57	5
chr21_40402973_40405772	6	2	1543	361
chr21_40416031_40416882	0	0	169	49
chr21_40443951_40446658	4	2	1086	282
chr21_40507332_40509655	2	0	950	540
chr21_40554156_40554601	1	0	72	14
chr21_40660153_40660612	0	0	86	11
chr21_40660650_40661253	1	1	146	21
chr21_40840062_40841554	4	0	256	88
chr21_40841703_40842079	0	0	67	28
chr21_40886768_40887482	5	0	118	17
chr21_40923120_40923401	0	1	35	7
chr21_40976142_40977343	1	0	203	30
chr21_41023687_41025529	3	0	344	31
chr21_41028697_41030191	4	0	289	65
chr21_41112313_41114450	7	3	953	128
chr21_41140582_41140975	2	0	41	4
chr21_41141951_41142262	0	0	44	3
chr21_41164913_41165963	5	1	242	70
chr21_41167333_41168060	1	0	215	54
chr21_41217487_41218565	5	0	165	40
chr21_41219644_41220605	2	1	350	82
chr21_41321963_41322684	3	0	111	31
chr21_41366901_41367577	2	2	104	22
chr21_41396057_41397850	6	0	466	152
chr21_41418155_41418485	0	0	39	3
chr21_41418682_41419269	0	0	70	17
chr21_41419707_41421123	4	0	666	113
chr21_41465628_41465990	0	0	40	5
chr21_41466378_41466760	0	0	36	11
chr21_41478472_41478913	1	0	51	7
chr21_41499117_41501412	14	0	676	89
chr21_41501563_41502142	2	1	97	13
chr21_41506127_41508134	3	0	760	82
chr21_41508328_41508789	0	0	50	6
chr21_41514685_41514850	4	0	6	1
chr21_41520053_41521807	2	1	269	39
chr21_41529862_41530281	0	1	70	3
chr21_41535297_41537999	7	3	1582	381
chr21_41582741_41584256	6	4	630	111
chr21_41585102_41585563	14	2	29	2
chr21_41601373_41602194	4	1	94	18
chr21_41605295_41606238	5	0	116	26
chr21_41612407_41613848	6	1	308	33
chr21_41629480_41635838	22	4	2199	271
chr21_41663917_41664323	1	0	48	11
chr21_41677251_41686436	60	6	8430	1701
chr21_41687092_41688506	9	0	293	80
chr21_41694076_41694382	8	0	5	1
chr21_41703663_41705300	8	3	519	102
chr21_41707163_41708312	3	2	317	48
chr21_41714883_41717272	10	3	944	59
chr21_41726494_41727961	11	0	336	42
chr21_41750932_41752599	8	1	476	72
chr21_41760528_41762781	6	0	1195	258
chr21_41764686_41766172	2	1	232	40
chr21_41766249_41769342	5	2	949	139
chr21_41779276_41779935	2	0	107	8
chr21_41782522_41785172	13	2	1125	182
chr21_41785693_41787919	8	2	945	173
chr21_41816859_41817281	0	3	75	13
chr21_41830393_41830651	6	1	9	2
chr21_41835552_41835938	29	1	9	4
chr21_41836030_41836979	105	15	25	4
chr21_41843976_41844516	42	4	23	3
chr21_41844592_41844843	32	4	4	0
chr21_41845333_41846236	60	9	38	6
chr21_41847279_41847583	8	2	7	3
chr21_41865005_41865808	39	5	13	5
chr21_41877474_41878839	120	78	250	32
chr21_41879285_41880346	151	59	358	38
chr21_41895236_41895728	15	11	25	5
chr21_41895867_41896175	17	0	11	4
chr21_41933379_41934008	3	0	111	15
chr21_41953237_41953944	29	15	31	3
chr21_41954153_41958830	236	70	1253	90
chr21_41965340_41966365	3	0	249	32
chr21_42008760_42011519	207	109	1699	391
chr21_42045060_42045534	2	0	87	10
chr21_42055649_42058507	19	1	1698	329
chr21_42086045_42086700	2	0	70	17
chr21_42097202_42098520	8	3	388	92
chr21_42101413_42101706	6	0	9	2
chr21_42119249_42120078	2	1	231	17
chr21_42120196_42121440	7	2	635	85
chr21_42123602_42123863	9	0	12	2
chr21_42219170_42220382	5	0	173	22
chr21_42233460_42233918	0	1	73	15
chr21_42234112_42235415	7	0	310	29
chr21_42262568_42263741	5	0	226	27
chr21_42292607_42292963	7	1	10	0
chr21_42314713_42316671	15	2	490	104
chr21_42329877_42331036	3	2	153	25
chr21_42331078_42331401	1	0	53	10
chr21_42337361_42339439	8	1	983	247
chr21_42359892_42368541	43	8	7210	1275
chr21_42370324_42372353	11	0	246	21
chr21_42372548_42373389	9	3	101	6
chr21_42373592_42378573	25	5	2314	323
chr21_42380312_42381494	7	0	163	18
chr21_42388509_42390177	16	3	299	71
chr21_42396073_42396624	1	1	84	9
chr21_42401850_42402639	20	27	28	7
chr21_42402806_42403851	51	37	23	8
chr21_42403907_42404532	26	17	8	5
chr21_42404550_42405064	15	12	11	3
chr21_42414826_42415130	10	1	2	1
chr21_42449242_42450054	8	1	139	19
chr21_42450266_42450716	7	2	73	25
chr21_42464070_42464475	18	7	70	21
chr21_42465111_42465666	27	16	21	1
chr21_42473705_42474823	12	0	281	39
chr21_42495175_42496354	15	1	824	84
chr21_42496513_42497341	13	3	398	49
chr21_42513154_42513793	4	2	166	21
chr21_42513907_42519229	35	8	2934	732
chr21_42522764_42526806	29	5	1737	401
chr21_42544599_42545888	85	38	37	8
chr21_42545944_42546320	18	6	8	4
chr21_42546383_42548420	342	78	46	18
chr21_42550213_42551486	3	3	260	48
chr21_42560907_42561819	3	2	121	41
chr21_42561932_42562309	3	0	46	17
chr21_42570856_42571271	4	0	49	5
chr21_42614637_42615534	11	3	126	20
chr21_42723920_42724435	2	1	83	7
chr21_42724520_42725103	1	2	90	8
chr21_42731515_42732033	0	1	62	18
chr21_42759334_42759533	8	0	7	1
chr21_42781547_42781875	1	0	37	12
chr21_42811962_42812492	0	0	50	11
chr21_42840284_42840544	11	1	8	0
chr21_42870927_42871108	6	0	10	3
chr21_42873351_42873692	11	2	8	3
chr21_42877465_42877875	15	13	49	6
chr21_42877987_42880811	462	313	1734	328
chr21_42890645_42890890	3	8	23	4
chr21_42890902_42891080	7	1	13	1
chr21_42892133_42894287	307	158	1731	443
chr21_42923578_42924021	22	12	24	6
chr21_42924075_42924946	131	67	111	18
chr21_42925543_42925912	17	3	16	4
chr21_42930069_42930336	11	5	10	4
chr21_42955150_42957459	21	14	628	84
chr21_42971145_42974330	402	249	443	125
chr21_42974582_42976929	239	156	1683	478
chr21_42980985_42981272	16	5	32	1
chr21_42989697_42989968	11	0	4	4
chr21_42992119_42992464	18	3	16	4
chr21_43006578_43006846	2	2	35	7
chr21_43045211_43045568	1	1	43	8
chr21_43045873_43046189	5	1	33	7
chr21_43106961_43107441	14	5	148	10
chr21_43187705_43187924	10	1	4	1
chr21_43196977_43197557	2	2	103	27
chr21_43287186_43289201	11	3	714	89
chr21_43331067_43335002	19	2	2745	258
chr21_43335093_43336053	3	1	136	11
chr21_43336957_43337372	4	1	45	3
chr21_43337478_43345473	25	2	3494	342
chr21_43373458_43373756	1	0	24	3
chr21_43578325_43579131	2	0	292	27
chr21_43579243_43579927	1	1	114	18
chr21_43585125_43588003	12	1	1738	262
chr21_43609121_43611071	4	2	840	168
chr21_43611506_43611976	0	0	67	12
chr21_43612050_43612409	5	1	78	12
chr21_43645068_43646720	4	5	276	49
chr21_43654498_43655787	16	2	215	38
chr21_43658849_43660532	154	64	588	95
chr21_43660595_43660792	13	4	18	1
chr21_43690514_43691370	10	1	108	24
chr21_43698345_43698739	21	4	9	1
chr21_43698897_43699348	23	12	13	2
chr21_43709697_43710233	2	0	59	16
chr21_43710427_43715221	20	6	3348	997
chr21_43715646_43715954	1	0	33	6
chr21_43716798_43717129	4	1	43	10
chr21_43718061_43722763	251	89	1424	191
chr21_43724417_43725042	3	1	47	30
chr21_43725593_43726453	10	1	123	29
chr21_43726811_43729080	290	80	425	181
chr21_43729114_43729713	47	25	55	15
chr21_43733385_43734981	14	3	140	23
chr21_43737624_43738937	81	27	102	10
chr21_43739144_43739826	18	12	79	21
chr21_43739966_43741157	15	5	325	69
chr21_43741469_43742090	7	0	100	20
chr21_43745979_43746286	18	1	14	2
chr21_43746345_43746653	13	2	11	5
chr21_43748683_43748924	4	1	18	3
chr21_43749445_43749762	1	2	22	17
chr21_43753939_43754164	4	0	3	0
chr21_43763908_43764489	3	1	37	15
chr21_43764788_43765084	6	0	32	8
chr21_43766232_43769226	369	95	968	240
chr21_43775320_43777039	63	34	753	196
chr21_43778083_43779249	16	3	171	39
chr21_43779314_43779545	0	0	30	6
chr21_43781322_43781683	0	0	35	17
chr21_43782152_43783919	13	1	506	163
chr21_43785533_43785989	0	1	40	8
chr21_43788495_43789487	48	26	367	143
chr21_43789512_43790627	119	66	303	60
chr21_43790893_43791392	20	6	21	4
chr21_43796997_43797311	9	1	6	1
chr21_43805212_43806292	45	13	28	6
chr21_43807831_43808007	7	0	2	1
chr21_43811017_43811262	14	2	9	2
chr21_43814355_43815159	10	3	94	29
chr21_43824034_43824693	52	8	23	5
chr21_43854371_43855391	213	108	17	7
chr21_43859168_43860887	80	52	58	12
chr21_43860944_43861244	16	4	9	0
chr21_43864249_43864752	35	11	75	14
chr21_43865448_43866969	99	111	190	36
chr21_43879852_43880938	27	8	212	34
chr21_43882759_43885785	728	175	350	54
chr21_43887065_43887287	12	0	6	1
chr21_43892766_43894683	119	79	65	13
chr21_43903018_43903183	6	0	9	2
chr21_43913884_43914434	6	13	18	2
chr21_43915951_43917802	171	87	69	11
chr21_43918065_43918663	24	16	25	9
chr21_43920183_43920677	18	4	12	2
chr21_43921183_43923124	265	101	63	9
chr21_43928080_43930587	18	5	1089	160
chr21_43938586_43939235	111	29	35	5
chr21_43939350_43939762	27	2	31	6
chr21_43945237_43945694	1	1	47	7
chr21_43945806_43946302	3	3	65	13
chr21_43956310_43956741	3	1	40	3
chr21_43958563_43959214	29	2	16	9
chr21_43972664_43972930	18	2	11	0
chr21_43975001_43975628	50	6	28	2
chr21_44010086_44010626	6	5	75	7
chr21_44011377_44014207	268	197	971	152
chr21_44015666_44016723	59	48	50	4
chr21_44016811_44018157	133	71	50	14
chr21_44018213_44019470	87	38	45	6
chr21_44019687_44020130	23	8	14	2
chr21_44020688_44021887	67	33	76	14
chr21_44023408_44023611	10	3	8	3
chr21_44024841_44027246	388	132	207	43
chr21_44028720_44028995	15	4	9	4
chr21_44029322_44030209	61	14	36	7
chr21_44042544_44042744	3	5	9	5
chr21_44043583_44044070	27	4	23	4
chr21_44066951_44067555	10	2	81	15
chr21_44082750_44084253	28	7	328	129
chr21_44207897_44208118	3	0	41	4
chr21_44299098_44301944	112	70	1279	283
chr21_44302196_44302857	6	3	91	22
chr21_44337940_44338762	42	12	242	52
chr21_44338967_44340487	237	101	1442	400
chr21_44341842_44343085	2	1	223	25
chr21_44370061_44371205	8	0	209	42
chr21_44392586_44393736	2	2	162	30
chr21_44398254_44398648	1	0	36	3
chr21_44398822_44399252	3	0	46	11
chr21_44419664_44419889	6	3	5	2
chr21_44427820_44428376	3	1	90	15
chr21_44455621_44456064	0	1	53	13
chr21_44465239_44465444	6	0	1	1
chr21_44505709_44506083	8	0	17	3
chr21_44517615_44517943	12	6	9	2
chr21_44572789_44573563	6	0	75	17
chr21_44580402_44580897	1	0	49	10
chr21_44593283_44594812	148	33	35	13
chr21_44618730_44618975	0	0	27	3
chr21_44753141_44753541	1	1	78	6
chr21_44764665_44766701	10	2	532	61
chr21_44772578_44775105	20	3	1010	107
chr21_44778140_44778869	41	5	54	14
chr21_44780520_44781037	18	1	25	9
chr21_44792820_44793410	25	5	27	8
chr21_44800519_44800754	13	5	23	12
chr21_44800776_44803096	272	141	602	117
chr21_44817262_44817676	10	2	56	4
chr21_44817797_44819075	185	58	457	63
chr21_44836500_44837488	13	1	112	20
chr21_44852941_44853183	15	0	19	3
chr21_44853729_44855754	358	110	74	16
chr21_44857628_44859818	16	2	598	62
chr21_44861625_44862091	28	0	16	5
chr21_44864993_44866544	38	5	178	32
chr21_44866816_44867374	26	10	34	8
chr21_44869671_44873781	179	63	1240	203
chr21_44873865_44875783	94	51	393	84
chr21_44878183_44878902	61	11	58	16
chr21_44881010_44881309	11	4	9	8
chr21_44911142_44912729	13	3	436	55
chr21_44916337_44917914	4	4	283	41
chr21_44920096_44920352	8	0	6	2
chr21_44926561_44929428	22	8	980	140
chr21_44939003_44940927	167	71	478	105
chr21_44967498_44967770	8	0	5	3
chr21_44968196_44968740	30	5	13	5
chr21_44972576_44972756	7	1	7	1
chr21_45050111_45050827	5	1	139	12
chr21_45051128_45051755	4	2	96	12
chr21_45073021_45074514	58	55	704	113
chr21_45074694_45075414	11	4	101	12
chr21_45102191_45102502	0	1	41	11
chr21_45110959_45111238	13	5	10	3
chr21_45111484_45111818	10	14	11	2
chr21_45138373_45138776	22	10	17	4
chr21_45151654_45151872	9	2	2	3
chr21_45286565_45286844	5	1	24	1
chr21_45287424_45287942	7	4	243	21
chr21_45287987_45289105	16	14	183	29
chr21_45317194_45318456	2	0	230	93
chr21_45326645_45327869	3	0	133	28
chr21_45328863_45331329	7	1	1214	235
chr21_45331564_45331875	0	1	25	4
chr21_45359764_45360310	36	4	7	2
chr21_45363580_45365087	116	12	591	173
chr21_45377707_45379101	3	2	282	43
chr21_45386125_45387803	16	2	389	74
chr21_45402658_45404945	7	1	520	91
chr21_45405191_45407170	29	13	485	82
chr21_45407210_45409425	17	4	382	119
chr21_45410181_45411680	203	52	38	10
chr21_45411803_45412218	58	15	8	1
chr21_45421095_45422341	5	2	242	60
chr21_45426949_45428502	11	1	262	68
chr21_45430596_45431194	8	0	60	10
chr21_45438947_45439563	42	13	59	9
chr21_45447284_45450201	15	4	1308	193
chr21_45452795_45453313	8	1	70	5
chr21_45453406_45456273	9	3	780	164
chr21_45460174_45460788	4	2	79	13
chr21_45460860_45461192	5	3	37	4
chr21_45465271_45465694	1	0	31	4
chr21_45466890_45467326	2	0	46	5
chr21_45469609_45472953	7	4	1563	457
chr21_45478266_45478681	19	14	47	12
chr21_45482415_45482772	11	4	5	4
chr21_45502270_45502860	1	0	62	9
chr21_45511158_45517294	30	1	3455	899
chr21_45526908_45527546	3	0	83	17
chr21_45527828_45528332	1	0	68	10
chr21_45529682_45529994	9	1	14	2
chr21_45540931_45542768	47	46	196	24
chr21_45554468_45555119	9	2	115	110
chr21_45555472_45556565	13	13	470	135
chr21_45591128_45592375	200	24	37	4
chr21_45592491_45592903	40	2	43	7
chr21_45593671_45594107	26	19	10	0
chr21_45594126_45594412	3	7	11	5
chr21_45635493_45635877	18	1	11	1
chr21_45640268_45641225	5	1	128	27
chr21_45641314_45641871	1	0	72	21
chr21_45643722_45644431	5	3	156	10
chr21_45667738_45668843	0	3	199	31
chr21_45747199_45749070	8	0	316	71
chr21_45818174_45819594	6	0	238	41
chr21_45820426_45820706	1	0	21	18
chr21_45910216_45911006	3	0	135	13
chr21_45914503_45917203	14	1	1018	77
chr21_45917383_45917802	3	1	55	7
chr21_45980423_45980811	1	0	43	3
chr21_45980877_45981564	9	2	183	30
chr21_46040970_46041189	13	1	5	3
chr21_46143672_46144414	88	37	53	19
chr21_46144829_46145051	9	1	13	1
chr21_46146965_46147590	3	2	99	23
chr21_46152681_46154533	183	58	32	26
chr21_46155903_46156683	40	4	13	1
chr21_46156860_46157169	10	2	5	4
chr21_46172516_46172693	5	0	2	1
chr21_46179412_46181172	76	34	36	14
chr21_46182724_46183539	76	29	16	3
chr21_46183922_46184492	124	57	36	7
chr21_46184575_46186237	81	76	295	110
chr21_46187288_46192323	216	84	3019	1025
chr21_46200340_46201300	18	3	180	23
chr21_46201448_46201966	8	1	81	15
chr21_46224454_46224773	19	4	8	2
chr21_46226154_46227559	48	12	159	70
chr21_46227613_46228925	57	19	464	135
chr21_46229183_46231012	198	94	293	110
chr21_46233612_46233812	7	2	10	5
chr21_46243718_46244001	13	1	15	2
chr21_46253441_46254135	93	13	25	10
chr21_46254270_46254783	19	6	16	4
chr21_46265082_46265287	8	1	6	0
chr21_46269175_46270034	7	0	91	19
chr21_46283881_46287893	268	141	2230	686
chr21_46291116_46292501	17	4	335	27
chr21_46294564_46295792	61	29	380	19
chr21_46295957_46296721	24	11	67	6
chr21_46313423_46313730	8	2	7	1
chr21_46317825_46319498	30	3	229	38
chr21_46319942_46324547	924	326	1508	412
chr21_46324613_46326875	161	85	1389	417
chr21_46369068_46369519	10	0	13	6
chr21_46378934_46379200	3	0	28	6
chr21_46423280_46423474	5	3	9	0
chr21_46435730_46435932	5	0	6	1
chr21_46441834_46442131	7	2	8	1
chr21_46455952_46456368	24	9	14	7
chr21_46457373_46458775	522	189	944	231
chr21_46458889_46459493	49	13	215	37
chr21_46459589_46460337	17	18	109	47
chr21_46462083_46462458	5	5	30	3
chr21_46499851_46501265	128	50	375	96
chr21_46509155_46509520	3	1	36	5
chr21_46509657_46510009	1	0	45	8
chr21_46510191_46510534	3	2	33	5
chr21_46545132_46545500	5	1	43	7
chr21_46545635_46546148	4	0	66	11
chr21_46633994_46636820	460	155	1738	610
chr21_46636963_46637580	18	16	37	18
chr21_46637930_46638702	69	34	75	4
chr21_46643498_46644480	6	0	147	23
chr21_46661241_46661721	2	1	23	20
chr21_46667169_46668365	2	0	162	40
