enhancer	S1_r1	S1_r2	S1_r3	S2_r1	S2_r2	S2_r3	S2_r4
chr21_33679213_33679795	0	0	0	102	23	204	46
chr21_33682627_33683408	3	1	2	89	20	178	40
chr21_33751087_33751316	7	7	14	7	4	14	8
chr21_33754544_33754764	7	0	0	2	3	4	6
chr21_33760942_33763691	47	30	60	728	138	1456	276
chr21_33773925_33775962	7	6	12	269	80	538	160
chr21_33801212_33803164	5	2	4	557	171	1114	342
chr21_33912547_33913087	5	12	24	13	2	26	4
chr21_33914461_33915912	252	164	328	208	42	416	84
chr21_33915961_33916476	52	24	48	32	11	64	22
chr21_33916563_33916728	8	1	2	4	2	8	4
chr21_33924392_33924784	3	1	2	27	16	54	32
chr21_33931441_33932510	91	43	86	45	17	90	34
chr21_33946687_33949473	438	117	234	1366	604	2732	1208
chr21_33951923_33952099	8	1	2	1	2	2	4
chr21_33975317_33977749	422	187	374	28	13	56	26
chr21_33977891_33978182	14	3	6	5	0	10	0
chr21_34030259_34030689	14	7	14	8	6	16	12
chr21_34072614_34073424	24	23	46	69	30	138	60
chr21_34073543_34073903	42	18	36	94	27	188	54
chr21_34073977_34075221	92	42	84	240	65	480	130
chr21_34082132_34082707	3	2	4	89	9	178	18
chr21_34082766_34083481	8	3	6	107	10	214	20
chr21_34086318_34087850	28	7	14	220	23	440	46
chr21_34110170_34111786	124	44	88	21	16	42	32
chr21_34190116_34190605	31	2	4	21	4	42	8
chr21_34190703_34191354	39	5	10	11	11	22	22
chr21_34227543_34227772	6	0	0	0	1	0	2
chr21_34367730_34368084	1	0	0	41	7	82	14
chr21_34522795_34523140	3	0	0	26	6	52	12
chr21_34526006_34527823	10	6	12	553	63	1106	126
chr21_34535365_34535866	0	1	2	36	6	72	12
chr21_34536121_34537496	7	4	8	167	11	334	22
chr21_34544251_34546281	55	6	12	372	24	744	48
chr21_34551970_34552373	4	1	2	35	1	70	2
chr21_34568974_34570154	3	0	0	108	13	216	26
chr21_34591923_34592498	28	3	6	2	1	4	2
chr21_34615408_34615636	12	2	4	15	6	30	12
chr21_34648246_34648665	1	0	0	33	6	66	12
chr21_34689831_34693343	21	3	6	567	178	1134	356
chr21_34693529_34693910	4	1	2	37	6	74	12
chr21_34726352_34727309	8	2	4	72	13	144	26
chr21_34727969_34729674	8	1	2	345	38	690	76
chr21_34733503_34738213	14	8	16	1376	204	2752	408
chr21_34743219_34744692	9	0	0	291	28	582	56
chr21_34744862_34745595	6	1	2	56	11	112	22
chr21_34774306_34774949	1	2	4	65	6	130	12
chr21_34775071_34775343	1	0	0	31	3	62	6
chr21_34794299_34797215	56	5	10	395	78	790	156
chr21_34807571_34808579	17	4	8	103	17	206	34
chr21_34817077_34817472	16	2	4	8	6	16	12
chr21_34823953_34824246	0	1	2	31	13	62	26
chr21_34824584_34825005	4	1	2	62	15	124	30
chr21_34836515_34837010	12	5	10	60	13	120	26
chr21_34845266_34848021	17	10	20	976	423	1952	846
chr21_34863697_34867190	54	10	20	994	249	1988	498
chr21_34867422_34868238	12	2	4	78	9	156	18
chr21_34870053_34870653	9	0	0	44	17	88	34
chr21_34871068_34871494	5	0	0	33	0	66	0
chr21_34874970_34887230	227	116	232	3708	1141	7416	2282
chr21_34887277_34890719	338	257	514	2173	315	4346	630
chr21_34904390_34910835	618	463	926	95	46	190	92
chr21_34940776_34941205	20	2	4	5	4	10	8
chr21_34967318_34968697	64	5	10	337	70	674	140
chr21_34982897_34983260	37	8	16	7	5	14	10
chr21_34983591_34983841	18	4	8	6	3	12	6
chr21_34992992_34993282	11	3	6	6	0	12	0
chr21_34993469_34993904	29	1	2	2	0	4	0
chr21_34994804_34995365	26	18	36	6	0	12	0
chr21_34995418_34997067	129	70	140	19	7	38	14
chr21_34997142_34998172	67	24	48	18	1	36	2
chr21_34998237_34998450	7	6	12	3	0	6	0
chr21_34999367_35000004	33	11	22	8	3	16	6
chr21_35003038_35003476	24	10	20	6	2	12	4
chr21_35025557_35029420	450	303	606	48	10	96	20
chr21_35029478_35029736	12	4	8	1	1	2	2
chr21_35046902_35049354	128	63	126	220	48	440	96
chr21_35050757_35052506	92	63	126	313	46	626	92
chr21_35100622_35100994	16	9	18	2	3	4	6
chr21_35102380_35103798	70	60	120	22	11	44	22
chr21_35104433_35105180	18	32	64	12	4	24	8
chr21_35105240_35107676	348	225	450	21	5	42	10
chr21_35113017_35113255	3	6	12	6	1	12	2
chr21_35136218_35137773	17	10	20	322	30	644	60
chr21_35138685_35139427	40	14	28	19	5	38	10
chr21_35163398_35164048	0	1	2	40	11	80	22
chr21_35190255_35190599	2	0	0	33	8	66	16
chr21_35197473_35198969	3	5	10	193	40	386	80
chr21_35203600_35203858	17	2	4	5	3	10	6
chr21_35204699_35207814	232	107	214	536	96	1072	192
chr21_35215606_35217713	12	3	6	1418	196	2836	392
chr21_35217771_35219412	7	4	8	1095	127	2190	254
chr21_35221842_35224165	19	1	2	517	107	1034	214
chr21_35224874_35228258	13	8	16	975	186	1950	372
chr21_35229034_35229579	10	3	6	49	11	98	22
chr21_35230382_35234814	20	8	16	1355	235	2710	470
chr21_35242286_35245573	10	3	6	1108	202	2216	404
chr21_35245658_35245949	1	1	2	24	2	48	4
chr21_35248046_35251371	9	5	10	1181	188	2362	376
chr21_35252656_35258558	21	19	38	3667	872	7334	1744
chr21_35259666_35260152	3	2	4	45	8	90	16
chr21_35260727_35263597	8	4	8	624	76	1248	152
chr21_35265223_35267242	11	3	6	244	58	488	116
chr21_35272362_35277086	24	6	12	1436	267	2872	534
chr21_35283230_35283415	3	4	8	3	0	6	0
chr21_35344096_35344707	5	2	4	72	6	144	12
chr21_35356558_35358282	6	7	14	263	18	526	36
chr21_35367922_35368465	1	3	6	49	11	98	22
chr21_35400665_35401062	2	0	0	56	5	112	10
chr21_35470679_35470891	5	7	14	2	1	4	2
chr21_35475591_35476168	15	13	26	6	5	12	10
chr21_35476525_35476872	16	4	8	8	0	16	0
chr21_35482381_35483135	45	7	14	8	3	16	6
chr21_35483336_35484332	49	24	48	6	5	12	10
chr21_35484780_35485112	12	6	12	3	1	6	2
chr21_35511401_35512060	2	0	0	64	20	128	40
chr21_35547478_35548775	103	33	66	8	5	16	10
chr21_35564836_35566005	24	2	4	137	15	274	30
chr21_35613605_35614722	11	1	2	280	33	560	66
chr21_35614849_35615614	13	3	6	190	27	380	54
chr21_35675110_35675435	2	0	0	23	1	46	2
chr21_35675893_35678674	11	1	2	1128	109	2256	218
chr21_35820289_35820580	7	0	0	0	0	0	0
chr21_35911084_35911597	2	0	0	67	10	134	20
chr21_35911655_35912325	1	0	0	121	17	242	34
chr21_35952714_35953016	1	0	0	26	4	52	8
chr21_35953087_35954556	1	2	4	254	34	508	68
chr21_36059000_36061364	251	157	314	1163	448	2326	896
chr21_36069169_36069864	15	16	32	88	11	176	22
chr21_36069961_36070498	13	10	20	53	17	106	34
chr21_36072614_36074161	15	2	4	171	51	342	102
chr21_36076895_36077131	14	1	2	6	5	12	10
chr21_36079119_36079917	63	23	46	13	8	26	16
chr21_36079966_36080158	8	0	0	1	4	2	8
chr21_36112381_36114748	10	8	16	480	144	960	288
chr21_36116738_36117130	1	0	0	38	8	76	16
chr21_36117280_36117989	3	0	0	127	25	254	50
chr21_36125381_36127566	18	5	10	691	159	1382	318
chr21_36133970_36137238	14	3	6	1467	327	2934	654
chr21_36141150_36141579	0	0	0	61	5	122	10
chr21_36141587_36143020	3	2	4	498	92	996	184
chr21_36143882_36144336	2	1	2	37	4	74	8
chr21_36153245_36153696	2	0	0	76	9	152	18
chr21_36154848_36156419	16	4	8	813	149	1626	298
chr21_36156713_36157899	5	3	6	420	77	840	154
chr21_36163829_36164922	8	3	6	151	33	302	66
chr21_36186546_36189901	10	5	10	1337	222	2674	444
chr21_36190513_36191107	4	0	0	54	8	108	16
chr21_36191770_36195331	19	3	6	1541	177	3082	354
chr21_36197228_36199654	13	2	4	733	101	1466	202
chr21_36201536_36204644	12	5	10	904	157	1808	314
chr21_36207523_36208089	6	0	0	44	7	88	14
chr21_36209386_36211171	8	5	10	554	144	1108	288
chr21_36234959_36235389	4	0	0	43	7	86	14
chr21_36245540_36246669	6	0	0	136	28	272	56
chr21_36253814_36254859	5	2	4	152	15	304	30
chr21_36260283_36260653	9	4	8	49	11	98	22
chr21_36266915_36267991	6	1	2	118	8	236	16
chr21_36268333_36268826	0	0	0	52	2	104	4
chr21_36296876_36299778	49	8	16	928	217	1856	434
chr21_36302201_36302729	2	0	0	53	8	106	16
chr21_36319333_36323475	376	257	514	1530	524	3060	1048
chr21_36327327_36327589	12	5	10	11	0	22	0
chr21_36329734_36330462	9	3	6	56	9	112	18
chr21_36330616_36331095	3	4	8	52	21	104	42
chr21_36332895_36333940	7	5	10	158	42	316	84
chr21_36385372_36386202	26	27	54	129	15	258	30
chr21_36396978_36397221	13	1	2	4	1	8	2
chr21_36401701_36403354	5	1	2	615	252	1230	504
chr21_36429208_36431189	116	10	20	390	107	780	214
chr21_36470305_36472501	11	3	6	404	190	808	380
chr21_36478332_36479319	10	1	2	155	40	310	80
chr21_36499198_36501311	4	1	2	432	70	864	140
chr21_36508579_36512342	15	6	12	1540	510	3080	1020
chr21_36586513_36588430	3	0	0	565	184	1130	368
chr21_36588578_36589118	3	1	2	50	4	100	8
chr21_36612649_36613843	7	1	2	171	31	342	62
chr21_36647364_36648477	7	2	4	137	92	274	184
chr21_36699198_36699843	1	0	0	73	20	146	40
chr21_36747160_36747757	0	1	2	50	12	100	24
chr21_36748034_36748687	2	0	0	68	3	136	6
chr21_36755595_36757828	5	2	4	357	41	714	82
chr21_36783751_36784790	7	1	2	84	11	168	22
chr21_36787827_36788887	6	2	4	116	29	232	58
chr21_36846317_36847378	3	1	2	234	35	468	70
chr21_36859594_36860300	33	30	60	43	4	86	8
chr21_36860450_36861338	35	39	78	58	16	116	32
chr21_36888680_36888866	7	2	4	1	0	2	0
chr21_36907851_36909992	14	4	8	590	43	1180	86
chr21_36910099_36911571	8	1	2	325	19	650	38
chr21_36912828_36913150	2	3	6	26	2	52	4
chr21_36916800_36918391	3	6	12	336	27	672	54
chr21_36959652_36960006	11	2	4	7	1	14	2
chr21_36964489_36966714	372	158	316	546	76	1092	152
chr21_36966775_36967728	51	28	56	323	49	646	98
chr21_36974122_36974612	29	8	16	25	7	50	14
chr21_36974670_36975137	25	4	8	13	0	26	0
chr21_36989225_36991020	230	89	178	432	100	864	200
chr21_37006936_37007384	3	0	0	36	12	72	24
chr21_37009765_37010017	11	0	0	13	7	26	14
chr21_37010114_37010494	7	1	2	29	4	58	8
chr21_37018253_37018431	10	2	4	7	0	14	0
chr21_37046436_37047789	8	0	0	212	77	424	154
chr21_37059922_37061380	6	0	0	300	85	600	170
chr21_37070795_37075103	571	244	488	3052	1021	6104	2042
chr21_37086957_37087764	25	16	32	74	9	148	18
chr21_37127736_37128494	4	1	2	57	16	114	32
chr21_37157405_37157720	18	7	14	7	4	14	8
chr21_37175946_37177852	32	4	8	441	103	882	206
chr21_37207870_37208768	39	7	14	18	4	36	8
chr21_37220059_37221857	74	44	88	536	137	1072	274
chr21_37230490_37231539	6	2	4	93	12	186	24
chr21_37256034_37256346	3	1	2	24	3	48	6
chr21_37256446_37260728	34	3	6	2397	620	4794	1240
chr21_37263458_37271831	520	291	582	4245	786	8490	1572
chr21_37337783_37338195	3	3	6	34	9	68	18
chr21_37338253_37339965	250	67	134	470	63	940	126
chr21_37341309_37341703	1	1	2	27	1	54	2
chr21_37356716_37357118	26	11	22	15	3	30	6
chr21_37364464_37366309	278	232	464	1392	312	2784	624
chr21_37366366_37372845	761	724	1448	2857	680	5714	1360
chr21_37373323_37373875	30	16	32	38	7	76	14
chr21_37374136_37374414	9	10	20	21	7	42	14
chr21_37374841_37375171	14	9	18	25	5	50	10
chr21_37378253_37379491	61	66	132	44	4	88	8
chr21_37379816_37381526	34	27	54	311	76	622	152
chr21_37408858_37409043	8	1	2	3	1	6	2
chr21_37414439_37414697	5	7	14	7	3	14	6
chr21_37414881_37415169	10	5	10	8	1	16	2
chr21_37419606_37420047	3	12	24	7	2	14	4
chr21_37425706_37426473	24	18	36	21	4	42	8
chr21_37434771_37435158	2	2	4	67	10	134	20
chr21_37435396_37435957	6	5	10	78	20	156	40
chr21_37446619_37447240	33	3	6	44	14	88	28
chr21_37447455_37447748	8	7	14	10	3	20	6
chr21_37449595_37451185	201	74	148	236	77	472	154
chr21_37451509_37451709	11	2	4	5	1	10	2
chr21_37451897_37452111	13	3	6	11	3	22	6
chr21_37454924_37456362	113	31	62	167	49	334	98
chr21_37457658_37459522	42	10	20	325	62	650	124
chr21_37460241_37460642	1	4	8	30	10	60	20
chr21_37463362_37463903	9	7	14	91	24	182	48
chr21_37466769_37467219	1	0	0	62	19	124	38
chr21_37467324_37467587	2	1	2	39	3	78	6
chr21_37477416_37477750	11	4	8	6	1	12	2
chr21_37503083_37503642	2	1	2	46	30	92	60
chr21_37509463_37509803	14	4	8	11	5	22	10
chr21_37513767_37514465	17	7	14	64	20	128	40
chr21_37532744_37534029	13	1	2	99	75	198	150
chr21_37536816_37537715	39	19	38	9	3	18	6
chr21_37550693_37550996	8	7	14	7	1	14	2
chr21_37562142_37562577	19	13	26	11	5	22	10
chr21_37562761_37566510	677	141	282	2905	1174	5810	2348
chr21_37566576_37567420	29	15	30	32	6	64	12
chr21_37635999_37636644	4	1	2	96	16	192	32
chr21_37636819_37637226	0	1	2	45	11	90	22
chr21_37658801_37659698	17	1	2	73	15	146	30
chr21_37765162_37765695	2	1	2	40	10	80	20
chr21_38079860_38080251	5	8	16	13	10	26	20
chr21_38087762_38091009	319	312	624	54	38	108	76
chr21_38091785_38091997	10	4	8	3	2	6	4
chr21_38111785_38115330	260	202	404	98	30	196	60
chr21_38119358_38119782	9	16	32	26	6	52	12
chr21_38119835_38122613	613	280	560	85	30	170	60
chr21_38129413_38130520	9	3	6	221	74	442	148
chr21_38136028_38136698	0	3	6	133	28	266	56
chr21_38137493_38138056	1	1	2	117	24	234	48
chr21_38138266_38142741	14	13	26	4561	1527	9122	3054
chr21_38147353_38148910	6	3	6	359	46	718	92
chr21_38170463_38171156	2	0	0	115	31	230	62
chr21_38171896_38172449	3	0	0	96	9	192	18
chr21_38219362_38221198	205	78	156	61	21	122	42
chr21_38227889_38228861	1	0	0	138	26	276	52
chr21_38234002_38234925	2	2	4	319	47	638	94
chr21_38234968_38235817	4	1	2	266	31	532	62
chr21_38343217_38343859	2	2	4	178	43	356	86
chr21_38343920_38344382	5	0	0	109	30	218	60
chr21_38374628_38375348	2	0	0	187	25	374	50
chr21_38375510_38376436	2	1	2	225	41	450	82
chr21_38414493_38414946	3	1	2	70	14	140	28
chr21_38457633_38461155	11	2	4	1425	455	2850	910
chr21_38596104_38596904	7	0	0	109	38	218	76
chr21_38636094_38637330	2	1	2	253	20	506	40
chr21_38755202_38756539	7	2	4	316	38	632	76
chr21_38784287_38785239	4	2	4	154	46	308	92
chr21_38786997_38787533	4	2	4	193	25	386	50
chr21_38787625_38788811	14	12	24	861	260	1722	520
chr21_38793654_38794237	2	0	0	120	12	240	24
chr21_38794406_38794892	2	0	0	62	12	124	24
chr21_38796784_38799309	114	39	78	901	137	1802	274
chr21_38801805_38802894	15	3	6	331	54	662	108
chr21_38802943_38808164	158	113	226	2724	451	5448	902
chr21_38809295_38809840	8	3	6	64	7	128	14
chr21_38814217_38815112	6	2	4	268	39	536	78
chr21_38815153_38815844	1	2	4	223	57	446	114
chr21_38817489_38821818	20	4	8	2494	716	4988	1432
chr21_38830960_38831681	37	6	12	197	53	394	106
chr21_38831739_38832484	41	3	6	158	35	316	70
chr21_38838725_38840991	57	3	6	691	136	1382	272
chr21_38849776_38850069	13	5	10	12	1	24	2
chr21_38850341_38850824	30	14	28	12	7	24	14
chr21_38851140_38851421	16	9	18	17	6	34	12
chr21_38852450_38852662	12	4	8	16	3	32	6
chr21_38852799_38853447	13	1	2	134	20	268	40
chr21_38853588_38854382	5	1	2	259	26	518	52
chr21_38857050_38857340	13	4	8	13	2	26	4
chr21_38903295_38904004	3	0	0	88	23	176	46
chr21_38904217_38904511	0	0	0	40	9	80	18
chr21_38905798_38906466	3	0	0	117	16	234	32
chr21_38906512_38915354	88	8	16	5053	890	10106	1780
chr21_38915501_38915997	1	0	0	79	10	158	20
chr21_38916650_38917215	0	0	0	84	20	168	40
chr21_38917307_38917652	2	0	0	70	17	140	34
chr21_38920867_38921596	3	0	0	93	22	186	44
chr21_38933759_38933954	7	0	0	5	1	10	2
chr21_38958777_38959668	19	6	12	108	23	216	46
chr21_38965195_38967105	29	8	16	795	132	1590	264
chr21_38993736_38994138	0	0	0	49	7	98	14
chr21_39030657_39031130	2	0	0	82	5	164	10
chr21_39047700_39048147	1	1	2	79	6	158	12
chr21_39071184_39072922	7	3	6	553	107	1106	214
chr21_39082017_39082714	4	1	2	141	16	282	32
chr21_39082914_39083804	8	2	4	135	28	270	56
chr21_39083962_39084497	5	0	0	67	19	134	38
chr21_39089481_39089858	5	0	0	37	9	74	18
chr21_39094240_39095315	15	1	2	380	31	760	62
chr21_39095356_39096917	7	2	4	546	75	1092	150
chr21_39175672_39176017	13	2	4	13	2	26	4
chr21_39182010_39184949	456	247	494	1144	350	2288	700
chr21_39208507_39209658	105	61	122	60	11	120	22
chr21_39311788_39315180	493	244	488	2588	899	5176	1798
chr21_39315654_39323633	383	134	268	4363	596	8726	1192
chr21_39346454_39349148	209	103	206	1420	423	2840	846
chr21_39349305_39351599	398	253	506	1705	917	3410	1834
chr21_39363575_39364043	20	20	40	15	4	30	8
chr21_39370378_39371207	45	15	30	31	6	62	12
chr21_39377454_39377813	30	4	8	15	5	30	10
chr21_39379543_39381669	94	64	128	868	253	1736	506
chr21_39386128_39386474	4	0	0	44	13	88	26
chr21_39387142_39387689	27	24	48	123	46	246	92
chr21_39387751_39389180	125	63	126	394	155	788	310
chr21_39419932_39420461	19	16	32	9	3	18	6
chr21_39420643_39420979	5	15	30	13	5	26	10
chr21_39421666_39423218	109	94	188	155	51	310	102
chr21_39423290_39423468	9	3	6	14	3	28	6
chr21_39428276_39428484	1	4	8	6	5	12	10
chr21_39429452_39429881	21	7	14	14	5	28	10
chr21_39429920_39431454	159	81	162	57	18	114	36
chr21_39444641_39446657	256	119	238	1421	556	2842	1112
chr21_39450624_39453341	237	68	136	332	363	664	726
chr21_39527195_39528837	10	2	4	363	61	726	122
chr21_39562877_39563643	2	0	0	97	18	194	36
chr21_39579313_39580620	5	1	2	359	130	718	260
chr21_39633264_39633950	1	2	4	66	44	132	88
chr21_39634120_39634521	4	0	0	40	24	80	48
chr21_39638925_39639331	3	2	4	51	27	102	54
chr21_39666096_39667906	4	0	0	477	112	954	224
chr21_39675421_39677102	9	2	4	455	82	910	164
chr21_39682126_39682537	1	0	0	81	12	162	24
chr21_39735934_39739354	9	1	2	1674	91	3348	182
chr21_39741646_39744052	5	0	0	877	119	1754	238
chr21_39762936_39763803	3	1	2	147	16	294	32
chr21_39763850_39764476	2	0	0	97	14	194	28
chr21_39788572_39788989	1	0	0	92	35	184	70
chr21_39805526_39806140	0	1	2	156	18	312	36
chr21_39806906_39808696	4	2	4	470	95	940	190
chr21_39851224_39853610	9	4	8	852	424	1704	848
chr21_39862855_39863393	0	2	4	61	61	122	122
chr21_39986023_39986342	7	0	0	3	0	6	0
chr21_40045565_40045949	1	0	0	46	6	92	12
chr21_40046806_40047288	0	0	0	65	13	130	26
chr21_40047522_40048244	0	0	0	109	33	218	66
chr21_40053501_40055812	8	3	6	757	211	1514	422
chr21_40069241_40072454	1	1	2	1695	343	3390	686
chr21_40072529_40076381	6	6	12	1450	174	2900	348
chr21_40117875_40119480	3	1	2	379	47	758	94
chr21_40120767_40121015	0	1	2	40	2	80	4
chr21_40143674_40145511	3	1	2	336	108	672	216
chr21_40146079_40147067	1	0	0	175	54	350	108
chr21_40147105_40147503	1	1	2	64	13	128	26
chr21_40165446_40166600	2	0	0	234	38	468	76
chr21_40166656_40167644	0	0	0	214	38	428	76
chr21_40182095_40182568	2	1	2	53	5	106	10
chr21_40216378_40217040	2	1	2	95	21	190	42
chr21_40245574_40246138	1	0	0	83	8	166	16
chr21_40258462_40259228	0	1	2	84	9	168	18
chr21_40278335_40278827	0	0	0	80	16	160	32
chr21_40284043_40284629	1	1	2	84	14	168	28
chr21_40301259_40301848	2	0	0	64	3	128	6
chr21_40308327_40308776	1	0	0	69	9	138	18
chr21_40308847_40309955	0	0	0	163	27	326	54
chr21_40310231_40310840	2	0	0	83	23	166	46
chr21_40310895_40311572	1	0	0	108	19	216	38
chr21_40312123_40329494	17	7	14	18486	7266	36972	14532
chr21_40329673_40330081	2	0	0	116	25	232	50
chr21_40330502_40343892	21	9	18	16197	7124	32394	14248
chr21_40344345_40345432	0	2	4	188	44	376	88
chr21_40350531_40350790	0	0	0	40	8	80	16
chr21_40351331_40351803	2	1	2	87	17	174	34
chr21_40366721_40368871	3	1	2	599	308	1198	616
chr21_40372076_40376172	6	2	4	1503	456	3006	912
chr21_40377204_40378288	1	1	2	200	41	400	82
chr21_40378794_40389721	12	7	14	14493	7672	28986	15344
chr21_40389825_40390218	0	0	0	57	5	114	10
chr21_40402973_40405772	6	2	4	1543	361	3086	722
chr21_40416031_40416882	0	0	0	169	49	338	98
chr21_40443951_40446658	4	2	4	1086	282	2172	564
chr21_40507332_40509655	2	0	0	950	540	1900	1080
chr21_40554156_40554601	1	0	0	72	14	144	28
chr21_40660153_40660612	0	0	0	86	11	172	22
chr21_40660650_40661253	1	1	2	146	21	292	42
chr21_40840062_40841554	4	0	0	256	88	512	176
chr21_40841703_40842079	0	0	0	67	28	134	56
chr21_40886768_40887482	5	0	0	118	17	236	34
chr21_40923120_40923401	0	1	2	35	7	70	14
chr21_40976142_40977343	1	0	0	203	30	406	60
chr21_41023687_41025529	3	0	0	344	31	688	62
chr21_41028697_41030191	4	0	0	289	65	578	130
chr21_41112313_41114450	7	3	6	953	128	1906	256
chr21_41140582_41140975	2	0	0	41	4	82	8
chr21_41141951_41142262	0	0	0	44	3	88	6
chr21_41164913_41165963	5	1	2	242	70	484	140
chr21_41167333_41168060	1	0	0	215	54	430	108
chr21_41217487_41218565	5	0	0	165	40	330	80
chr21_41219644_41220605	2	1	2	350	82	700	164
chr21_41321963_41322684	3	0	0	111	31	222	62
chr21_41366901_41367577	2	2	4	104	22	208	44
chr21_41396057_41397850	6	0	0	466	152	932	304
chr21_41418155_41418485	0	0	0	39	3	78	6
chr21_41418682_41419269	0	0	0	70	17	140	34
chr21_41419707_41421123	4	0	0	666	113	1332	226
chr21_41465628_41465990	0	0	0	40	5	80	10
chr21_41466378_41466760	0	0	0	36	11	72	22
chr21_41478472_41478913	1	0	0	51	7	102	14
chr21_41499117_41501412	14	0	0	676	89	1352	178
chr21_41501563_41502142	2	1	2	97	13	194	26
chr21_41506127_41508134	3	0	0	760	82	1520	164
chr21_41508328_41508789	0	0	0	50	6	100	12
chr21_41514685_41514850	4	0	0	6	1	12	2
chr21_41520053_41521807	2	1	2	269	39	538	78
chr21_41529862_41530281	0	1	2	70	3	140	6
chr21_41535297_41537999	7	3	6	1582	381	3164	762
chr21_41582741_41584256	6	4	8	630	111	1260	222
chr21_41585102_41585563	14	2	4	29	2	58	4
chr21_41601373_41602194	4	1	2	94	18	188	36
chr21_41605295_41606238	5	0	0	116	26	232	52
chr21_41612407_41613848	6	1	2	308	33	616	66
chr21_41629480_41635838	22	4	8	2199	271	4398	542
chr21_41663917_41664323	1	0	0	48	11	96	22
chr21_41677251_41686436	60	6	12	8430	1701	16860	3402
chr21_41687092_41688506	9	0	0	293	80	586	160
chr21_41694076_41694382	8	0	0	5	1	10	2
chr21_41703663_41705300	8	3	6	519	102	1038	204
chr21_41707163_41708312	3	2	4	317	48	634	96
chr21_41714883_41717272	10	3	6	944	59	1888	118
chr21_41726494_41727961	11	0	0	336	42	672	84
chr21_41750932_41752599	8	1	2	476	72	952	144
chr21_41760528_41762781	6	0	0	1195	258	2390	516
chr21_41764686_41766172	2	1	2	232	40	464	80
chr21_41766249_41769342	5	2	4	949	139	1898	278
chr21_41779276_41779935	2	0	0	107	8	214	16
chr21_41782522_41785172	13	2	4	1125	182	2250	364
chr21_41785693_41787919	8	2	4	945	173	1890	346
chr21_41816859_41817281	0	3	6	75	13	150	26
chr21_41830393_41830651	6	1	2	9	2	18	4
chr21_41835552_41835938	29	1	2	9	4	18	8
chr21_41836030_41836979	105	15	30	25	4	50	8
chr21_41843976_41844516	42	4	8	23	3	46	6
chr21_41844592_41844843	32	4	8	4	0	8	0
chr21_41845333_41846236	60	9	18	38	6	76	12
chr21_41847279_41847583	8	2	4	7	3	14	6
chr21_41865005_41865808	39	5	10	13	5	26	10
chr21_41877474_41878839	120	78	156	250	32	500	64
chr21_41879285_41880346	151	59	118	358	38	716	76
chr21_41895236_41895728	15	11	22	25	5	50	10
chr21_41895867_41896175	17	0	0	11	4	22	8
chr21_41933379_41934008	3	0	0	111	15	222	30
chr21_41953237_41953944	29	15	30	31	3	62	6
chr21_41954153_41958830	236	70	140	1253	90	2506	180
chr21_41965340_41966365	3	0	0	249	32	498	64
chr21_42008760_42011519	207	109	218	1699	391	3398	782
chr21_42045060_42045534	2	0	0	87	10	174	20
chr21_42055649_42058507	19	1	2	1698	329	3396	658
chr21_42086045_42086700	2	0	0	70	17	140	34
chr21_42097202_42098520	8	3	6	388	92	776	184
chr21_42101413_42101706	6	0	0	9	2	18	4
chr21_42119249_42120078	2	1	2	231	17	462	34
chr21_42120196_42121440	7	2	4	635	85	1270	170
chr21_42123602_42123863	9	0	0	12	2	24	4
chr21_42219170_42220382	5	0	0	173	22	346	44
chr21_42233460_42233918	0	1	2	73	15	146	30
chr21_42234112_42235415	7	0	0	310	29	620	58
chr21_42262568_42263741	5	0	0	226	27	452	54
chr21_42292607_42292963	7	1	2	10	0	20	0
chr21_42314713_42316671	15	2	4	490	104	980	208
chr21_42329877_42331036	3	2	4	153	25	306	50
chr21_42331078_42331401	1	0	0	53	10	106	20
chr21_42337361_42339439	8	1	2	983	247	1966	494
chr21_42359892_42368541	43	8	16	7210	1275	14420	2550
chr21_42370324_42372353	11	0	0	246	21	492	42
chr21_42372548_42373389	9	3	6	101	6	202	12
chr21_42373592_42378573	25	5	10	2314	323	4628	646
chr21_42380312_42381494	7	0	0	163	18	326	36
chr21_42388509_42390177	16	3	6	299	71	598	142
chr21_42396073_42396624	1	1	2	84	9	168	18
chr21_42401850_42402639	20	27	54	28	7	56	14
chr21_42402806_42403851	51	37	74	23	8	46	16
chr21_42403907_42404532	26	17	34	8	5	16	10
chr21_42404550_42405064	15	12	24	11	3	22	6
chr21_42414826_42415130	10	1	2	2	1	4	2
chr21_42449242_42450054	8	1	2	139	19	278	38
chr21_42450266_42450716	7	2	4	73	25	146	50
chr21_42464070_42464475	18	7	14	70	21	140	42
chr21_42465111_42465666	27	16	32	21	1	42	2
chr21_42473705_42474823	12	0	0	281	39	562	78
chr21_42495175_42496354	15	1	2	824	84	1648	168
chr21_42496513_42497341	13	3	6	398	49	796	98
chr21_42513154_42513793	4	2	4	166	21	332	42
chr21_42513907_42519229	35	8	16	2934	732	5868	1464
chr21_42522764_42526806	29	5	10	1737	401	3474	802
chr21_42544599_42545888	85	38	76	37	8	74	16
chr21_42545944_42546320	18	6	12	8	4	16	8
chr21_42546383_42548420	342	78	156	46	18	92	36
chr21_42550213_42551486	3	3	6	260	48	520	96
chr21_42560907_42561819	3	2	4	121	41	242	82
chr21_42561932_42562309	3	0	0	46	17	92	34
chr21_42570856_42571271	4	0	0	49	5	98	10
chr21_42614637_42615534	11	3	6	126	20	252	40
chr21_42723920_42724435	2	1	2	83	7	166	14
